GEOID,Total,White alone,White proportion,Black or African American alone,Black/AA proportion
120010007004006,25,1,0.04,15,0.6
120010007004007,0,0,0,0,0
120010007004008,44,6,0.136363636363636,34,0.772727272727273
120010007004009,85,9,0.105882352941176,69,0.811764705882353
120010007004010,91,5,0.054945054945055,82,0.901098901098901
120010007004011,36,1,0.027777777777778,30,0.833333333333333
120010007004012,112,10,0.089285714285714,89,0.794642857142857
120010007004013,283,83,0.293286219081272,185,0.653710247349823
120010007004014,0,0,0,0,0
120010007004015,27,3,0.111111111111111,21,0.777777777777778
120010007004016,0,0,0,0,0
120010007004017,34,7,0.205882352941176,20,0.588235294117647
120010007004018,0,0,0,0,0
120010007004019,0,0,0,0,0
120010007004020,40,4,0.1,34,0.85
120010007004021,74,3,0.040540540540541,64,0.864864864864865
120010007004022,11,1,0.090909090909091,6,0.545454545454545
120010007004023,0,0,0,0,0
120010007004024,0,0,0,0,0
120010007004025,0,0,0,0,0
120010007004026,0,0,0,0,0
120010007004027,0,0,0,0,0
120010007004028,23,0,0,14,0.608695652173913
120010007004029,30,0,0,27,0.9
120010007004030,64,17,0.265625,44,0.6875
120010007004031,46,7,0.152173913043478,37,0.804347826086956
120010007004032,518,239,0.461389961389961,240,0.463320463320463
120010007004033,24,3,0.125,7,0.291666666666667
120010007004034,36,4,0.111111111111111,31,0.861111111111111
120010007004035,22,0,0,21,0.954545454545455
120010007004036,22,0,0,19,0.863636363636364
120010007004037,62,8,0.129032258064516,50,0.806451612903226
120010007004038,16,5,0.3125,10,0.625
120010007004039,32,8,0.25,22,0.6875
120010007004040,6,0,0,4,0.666666666666667
120010007004041,28,4,0.142857142857143,21,0.75
120010007004042,12,0,0,11,0.916666666666667
120010007004043,0,0,0,0,0
